id,@id,geometry,lat_lon,centroid
way/343713744,way/343713744,"POLYGON ((702637.164244724 3048685.4606274483, 702634.6307630141 3048678.5687786834, 702641.5465737209 3048677.3643982857, 702639.3266289247 3048667.052811911, 702670.7262785275 3048659.1383302105, 702674.6970948495 3048675.2758376617, 702637.164244724 3048685.4606274483))","[(702637.164244724, 3048685.4606274483), (702634.6307630141, 3048678.5687786834), (702641.5465737209, 3048677.3643982857), (702639.3266289247, 3048667.052811911), (702670.7262785275, 3048659.1383302105), (702674.6970948495, 3048675.2758376617), (702637.164244724, 3048685.4606274483)]",POINT (702655.4844648247 3048672.132832042)
way/343714103,way/343714103,"POLYGON ((702671.0916883941 3050235.180685942, 702669.9714375468 3050222.9143420444, 702686.8375397502 3050220.2900676373, 702687.5669822013 3050232.2950016297, 702671.0916883941 3050235.180685942))","[(702671.0916883941, 3050235.180685942), (702669.9714375468, 3050222.9143420444), (702686.8375397502, 3050220.2900676373), (702687.5669822013, 3050232.2950016297), (702671.0916883941, 3050235.180685942)]",POINT (702678.8283646492 3050227.6538953125)
way/343714621,way/343714621,"POLYGON ((702739.5446431215 3050229.9982660096, 702735.006589363 3050215.9461139217, 702746.7076533941 3050213.247320509, 702751.5245189002 3050225.974028799, 702739.5446431215 3050229.9982660096))","[(702739.5446431215, 3050229.9982660096), (702735.006589363, 3050215.9461139217), (702746.7076533941, 3050213.247320509), (702751.5245189002, 3050225.974028799), (702739.5446431215, 3050229.9982660096)]",POINT (702743.1345133402 3050221.378753577)
way/343714739,way/343714739,"POLYGON ((702873.9910772757 3050334.4790355456, 702870.4059995925 3050311.231861249, 702879.7009139635 3050310.067178209, 702883.5656724717 3050332.532038197, 702873.9910772757 3050334.4790355456))","[(702873.9910772757, 3050334.4790355456), (702870.4059995925, 3050311.231861249), (702879.7009139635, 3050310.067178209), (702883.5656724717, 3050332.532038197), (702873.9910772757, 3050334.4790355456)]",POINT (702876.9042999131 3050322.1616438627)
way/343714785,way/343714785,"POLYGON ((702866.1999788482 3050309.3220992666, 702863.7491436917 3050296.8895406523, 702873.3412413361 3050293.8898470425, 702875.7691312364 3050307.108988914, 702866.1999788482 3050309.3220992666))","[(702866.1999788482, 3050309.3220992666), (702863.7491436917, 3050296.8895406523), (702873.3412413361, 3050293.8898470425), (702875.7691312364, 3050307.108988914), (702866.1999788482, 3050309.3220992666)]",POINT (702869.8075779282 3050301.7717519472)
way/343714812,way/343714812,"POLYGON ((702878.9622640414 3050306.363954456, 702875.4558143847 3050294.445898061, 702885.2827868391 3050292.7691047234, 702887.4659202131 3050304.665194292, 702878.9622640414 3050306.363954456))","[(702878.9622640414, 3050306.363954456), (702875.4558143847, 3050294.445898061), (702885.2827868391, 3050292.7691047234), (702887.4659202131, 3050304.665194292), (702878.9622640414, 3050306.363954456)]",POINT (702881.742718381 3050299.427360293)
way/343714844,way/343714844,"POLYGON ((702965.2689926708 3050326.5068464046, 702957.3339997877 3050293.965523081, 702965.850930423 3050291.468990323, 702972.9914527059 3050324.2631402365, 702965.2689926708 3050326.5068464046))","[(702965.2689926708, 3050326.5068464046), (702957.3339997877, 3050293.965523081), (702965.850930423, 3050291.468990323), (702972.9914527059, 3050324.2631402365), (702965.2689926708, 3050326.5068464046)]",POINT (702965.2999390956 3050308.783125821)
way/343714907,way/343714907,"POLYGON ((702828.3368580844 3050259.9352520765, 702826.585284418 3050253.577238504, 702844.1349391987 3050249.6455347147, 702845.6242813782 3050255.733183608, 702828.3368580844 3050259.9352520765))","[(702828.3368580844, 3050259.9352520765), (702826.585284418, 3050253.577238504), (702844.1349391987, 3050249.6455347147), (702845.6242813782, 3050255.733183608), (702828.3368580844, 3050259.9352520765)]",POINT (702836.0960247885 3050254.734442639)
way/343715094,way/343715094,"POLYGON ((702715.6026986253 3050363.21817194, 702711.8076058184 3050352.614375041, 702725.6361547515 3050349.6848481824, 702728.6401553678 3050359.743496189, 702715.6026986253 3050363.21817194))","[(702715.6026986253, 3050363.21817194), (702711.8076058184, 3050352.614375041), (702725.6361547515, 3050349.6848481824), (702728.6401553678, 3050359.743496189), (702715.6026986253, 3050363.21817194)]",POINT (702720.3359724765 3050356.296442146)
way/343715198,way/343715198,"POLYGON ((702593.8000087577 3050390.9807940004, 702591.5674286415 3050381.4559212923, 702603.2422076532 3050380.330489758, 702605.4878232685 3050389.0686210473, 702593.8000087577 3050390.9807940004))","[(702593.8000087577, 3050390.9807940004), (702591.5674286415, 3050381.4559212923), (702603.2422076532, 3050380.330489758), (702605.4878232685, 3050389.0686210473), (702593.8000087577, 3050390.9807940004)]",POINT (702598.4464528848 3050385.482503138)
way/343715206,way/343715206,"POLYGON ((702667.6621509632 3050378.2397934655, 702663.3730808124 3050365.2558559068, 702672.4145197566 3050363.288771775, 702675.646734011 3050376.2662685295, 702667.6621509632 3050378.2397934655))","[(702667.6621509632, 3050378.2397934655), (702663.3730808124, 3050365.2558559068), (702672.4145197566, 3050363.288771775), (702675.646734011, 3050376.2662685295), (702667.6621509632, 3050378.2397934655)]",POINT (702669.7248669057 3050370.6400173246)
way/343715271,way/343715271,"POLYGON ((702689.4666065329 3050373.857505413, 702682.809587223 3050359.5152930296, 702692.130719297 3050356.7659011576, 702695.8513877387 3050371.857457918, 702689.4666065329 3050373.857505413))","[(702689.4666065329, 3050373.857505413), (702682.809587223, 3050359.5152930296), (702692.130719297, 3050356.7659011576), (702695.8513877387, 3050371.857457918), (702689.4666065329, 3050373.857505413)]",POINT (702689.8997544314 3050365.0490461234)
way/343715284,way/343715284,"POLYGON ((702652.6948068473 3050338.455116032, 702652.8565148856 3050328.7039208203, 702659.7440781124 3050328.5521270237, 702660.4685055984 3050332.521111595, 702663.6353354751 3050333.3605913795, 702661.9753813667 3050337.5560479155, 702652.6948068473 3050338.455116032))","[(702652.6948068473, 3050338.455116032), (702652.8565148856, 3050328.7039208203), (702659.7440781124, 3050328.5521270237), (702660.4685055984, 3050332.521111595), (702663.6353354751, 3050333.3605913795), (702661.9753813667, 3050337.5560479155), (702652.6948068473, 3050338.455116032)]",POINT (702657.2108702014 3050333.648775106)
way/343715400,way/343715400,"POLYGON ((702706.4345655888 3050340.665414498, 702703.7573310555 3050326.3892075685, 702713.0522083297 3050325.2243995047, 702713.6116869312 3050339.7314937864, 702706.4345655888 3050340.665414498))","[(702706.4345655888, 3050340.665414498), (702703.7573310555, 3050326.3892075685), (702713.0522083297, 3050325.2243995047), (702713.6116869312, 3050339.7314937864), (702706.4345655888, 3050340.665414498)]",POINT (702709.1775099796 3050332.695108773)
way/343715500,way/343715500,"POLYGON ((702687.8721741638 3050341.9425239866, 702683.8978965031 3050326.059804742, 702694.2713108829 3050323.5938806045, 702695.8611957999 3050339.703068964, 702687.8721741638 3050341.9425239866))","[(702687.8721741638, 3050341.9425239866), (702683.8978965031, 3050326.059804742), (702694.2713108829, 3050323.5938806045), (702695.8611957999, 3050339.703068964), (702687.8721741638, 3050341.9425239866)]",POINT (702690.3994436576 3050332.492443802)
way/343715588,way/343715588,"POLYGON ((702716.6080131652 3050334.771250569, 702714.4192603233 3050322.6090952926, 702721.6050326707 3050321.1543760123, 702722.7404710737 3050332.5010146457, 702716.6080131652 3050334.771250569))","[(702716.6080131652, 3050334.771250569), (702714.4192603233, 3050322.6090952926), (702721.6050326707, 3050321.1543760123), (702722.7404710737, 3050332.5010146457), (702716.6080131652, 3050334.771250569)]",POINT (702718.7740115273 3050327.6403073478)
way/343715842,way/343715842,"POLYGON ((702733.0876025619 3050331.6196929715, 702730.667156395 3050317.3477381687, 702739.9532204327 3050316.714833531, 702741.8447965996 3050330.712001692, 702733.0876025619 3050331.6196929715))","[(702733.0876025619, 3050331.6196929715), (702730.667156395, 3050317.3477381687), (702739.9532204327, 3050316.714833531), (702741.8447965996, 3050330.712001692), (702733.0876025619, 3050331.6196929715)]",POINT (702736.3618221915 3050324.0372405206)
